"taxon","relative_abundance_percent"
"s__Faecalibacterium_prausnitzii",4.86687003483025
"s__Bacteroides_uniformis",0.42184951824691
"s__Fusicatenibacter_saccharivorans",0.275716726877833
"s__Blautia_wexlerae",0.042006133146436
"s__Anaerostipes_hadrus",0.562671936746598
"s__Bacteroides_vulgatus",0.869709026058177
"s__Agathobaculum_butyriciproducens",0.000998631874332172
"s__Parabacteroides_distasonis",0.176781229072411
"s__Dorea_longicatena",3.48384302722384
"s__Eubacterium_rectale",7.72579055028348
"s__Eubacterium_hallii",0.15020768973416
"s__Collinsella_aerofaciens",0.000998631874332172
"s__Roseburia_inulinivorans",1.90039821252842
"s__Blautia_obeum",0.592637612223867
"s__Dorea_formicigenerans",0.375952724161472
"s__Ruthenibacterium_lactatiformans",0.000998631874332172
"s__Bacteroides_ovatus",0.000998631874332172
"s__Coprococcus_comes",15.0514824360932
"s__Gemmiger_formicilis",0.0120729701561222
"s__Roseburia_faecis",0.0641146242761392
"s__Roseburia_hominis",0.391276943013139
"s__Bacteroides_thetaiotaomicron",0.409321373273411
"s__Odoribacter_splanchnicus",1.42086070492689
"s__Eubacterium_eligens",0.335171228023691
"s__Alistipes_putredinis",1.21772268642927
"s__Ruminococcus_torques",0.327118968754392
"s__Streptococcus_salivarius",0.000998631874332172
"s__Flavonifractor_plautii",0.000998631874332172
"s__Bifidobacterium_longum",0.000998631874332172
"s__Alistipes_finegoldii",0.000998631874332172
"s__Firmicutes_bacterium_CAG_83",0.0122897200691585
"s__Coprococcus_catus",0.0914467883100174
"s__Roseburia_intestinalis",0.883906145362054
"s__Alistipes_shahii",0.000998631874332172
"s__Eubacterium_ramulus",0.0385598095291588
"s__Parabacteroides_merdae",0.489204553722942
"s__Collinsella_stercoris",0.000998631874332172
"s__Bacteroides_caccae",2.71487936074494
"s__Ruminococcus_bromii",2.62558923406964
"s__Oscillibacter_sp_57_20",0.11815037759609
"s__Bacteroides_xylanisolvens",0.000998631874332172
